"","n4","Freq"
"1","*",7
"2","**",15
"3","**a",4
"4","**i",5
"5","**the",5
"6","**the*",5
"7","*a",5
"8","*a*",37
"9","*ab",3
"10","*ac",6
"11","*act",2
"12","*ad",11
"13","*ag",4
"14","*age",1
"15","*al",18
"16","*all",11
"17","*all*",10
"18","*am",9
"19","*ame",1
"20","*an",26
"21","*an*",14
"22","*an*o",3
"23","*and",55
"24","*and*",36
"25","*ans",1
"26","*ap",7
"27","*app",5
"28","*ar",13
"29","*are",20
"30","*art",2
"31","*arti",1
"32","*as",13
"33","*as*",11
"34","*ass",1
"35","*at",16
"36","*at*",10
"37","*atte",4
"38","*av",2
"39","*aw",1
"40","*b",7
"41","*be",10
"42","*be*",24
"43","*been*",5
"44","*bi",2
"45","*bl",1
"46","*bo",2
"47","*c",54
"48","*ca",14
"49","*cal",1
"50","*can*",4
"51","*ce",4
"52","*cer",3
"53","*ch",4
"54","*ci",3
"55","*cl",5
"56","*cla",4
"57","*cle",1
"58","*co",41
"59","*con",28
"60","*cons",13
"61","*cri",1
"62","*cu",1
"63","*d",48
"64","*da",5
"65","*de",19
"66","*des",9
"67","*di",21
"68","*do",8
"69","*du",1
"70","*e",27
"71","*ea",1
"72","*eac",1
"73","*ef",2
"74","*ei",4
"75","*el",2
"76","*ele",2
"77","*em",3
"78","*en",13
"79","*enc",1
"80","*ende",1
"81","*ent",2
"82","*enti",1
"83","*equ",5
"84","*er",2
"85","*es",4
"86","*ess",1
"87","*esse",1
"88","*est",3
"89","*ever",4
"90","*evi",4
"91","*ex",6
"92","*ext",1
"93","*ey",1
"94","*f",42
"95","*fa",9
"96","*fe",6
"97","*fi",3
"98","*for",19
"99","*fore",3
"100","*fr",18
"101","*ful",1
"102","*g",19
"103","*ge",4
"104","*gen",4
"105","*gi",3
"106","*go",14
"107","*gre",4
"108","*gu",1
"109","*h",49
"110","*ha",22
"111","*han",2
"112","*har",1
"113","*have*",15
"114","*he",8
"115","*hi",1
"116","*ho",10
"117","*i",49
"118","*ide",1
"119","*if",5
"120","*ill",2
"121","*im",4
"122","*in",46
"123","*in*",26
"124","*inc",1
"125","*ind",7
"126","*ine",1
"127","*inst",3
"128","*int",16
"129","*inte",11
"130","*is",12
"131","*is*",11
"132","*it",30
"133","*it*",20
"134","*j",11
"135","*je",4
"136","*k",2
"137","*l",21
"138","*la",2
"139","*lat",1
"140","*le",4
"141","*les",3
"142","*li",7
"143","*lit",1
"144","*lo",6
"145","*m",75
"146","*ma",14
"147","*me",10
"148","*men",10
"149","*mer",3
"150","*meri",1
"151","*mi",5
"152","*min",1
"153","*mo",20
"154","*mu",9
"155","*n",23
"156","*na",7
"157","*nat",6
"158","*ne",10
"159","*no",24
"160","*not",19
"161","*not*",12
"162","*nu",6
"163","*o",6
"164","*ob",9
"165","*oc",1
"166","*of",102
"167","*of*",17
"168","*of*a",12
"169","*on",11
"170","*on*",9
"171","*on*t",6
"172","*on*th",6
