"","n4","Freq"
"1","*",2
"2","**",10
"3","**a",1
"4","**i",1
"5","**the",2
"6","**the*",2
"7","*a",4
"8","*a*",36
"9","*ab",1
"10","*ac",13
"11","*act",2
"12","*ad",12
"13","*ade",1
"14","*ag",2
"15","*age",1
"16","*al",11
"17","*all",8
"18","*all*",6
"19","*als",2
"20","*am",2
"21","*an",23
"22","*an*",7
"23","*an*o",1
"24","*and",72
"25","*and*",48
"26","*ann",1
"27","*ap",9
"28","*app",7
"29","*ar",9
"30","*are",13
"31","*ari",2
"32","*as",25
"33","*as*",21
"34","*ass",3
"35","*at",4
"36","*at*",1
"37","*atte",3
"38","*au",1
"39","*aut",1
"40","*av",1
"41","*b",11
"42","*be",15
"43","*be*",27
"44","*been*",13
"45","*bi",2
"46","*bl",1
"47","*ble",1
"48","*bo",5
"49","*c",47
"50","*ca",8
"51","*cal",1
"52","*can*",2
"53","*ce",4
"54","*cer",3
"55","*ch",13
"56","*ci",2
"57","*cl",3
"58","*cle",3
"59","*co",37
"60","*con",15
"61","*cons",6
"62","*cor",2
"63","*cri",2
"64","*cu",4
"65","*d",36
"66","*da",2
"67","*de",13
"68","*den",3
"69","*der",1
"70","*des",2
"71","*di",26
"72","*do",3
"73","*du",5
"74","*e",36
"75","*ea",3
"76","*eac",2
"77","*eas",1
"78","*ec",1
"79","*ef",4
"80","*ei",1
"81","*el",2
"82","*ele",1
"83","*em",2
"84","*emb",1
"85","*en",8
"86","*enc",1
"87","*ent",1
"88","*equ",5
"89","*er",5
"90","*es",6
"91","*ess",3
"92","*esse",3
"93","*est",3
"94","*et",1
"95","*ever",2
"96","*evi",2
"97","*ex",13
"98","*ext",3
"99","*ey",1
"100","*f",40
"101","*fa",11
"102","*fe",2
"103","*fi",5
"104","*fin",3
"105","*for",5
"106","*fr",20
"107","*ful",3
"108","*g",15
"109","*ge",3
"110","*gen",3
"111","*gi",1
"112","*go",12
"113","*gre",9
"114","*h",42
"115","*ha",21
"116","*han",4
"117","*have*",14
"118","*he",5
"119","*he*",1
"120","*her*",1
"121","*hi",3
"122","*his*",2
"123","*ho",6
"124","*i",52
"125","*ide",4
"126","*ill",1
"127","*im",10
"128","*in",40
"129","*in*",30
"130","*ina",3
"131","*inc",1
"132","*ind",6
"133","*inst",2
"134","*int",9
"135","*inte",5
"136","*ir",1
"137","*is",19
"138","*is*",16
"139","*it",33
"140","*it*",21
"141","*j",10
"142","*k",3
"143","*ke",2
"144","*l",32
"145","*la",9
"146","*lan",2
"147","*lat",2
"148","*le",8
"149","*leg",4
"150","*les",6
"151","*li",14
"152","*lit",1
"153","*lo",3
"154","*m",59
"155","*ma",14
"156","*me",9
"157","*men",5
"158","*mer",2
"159","*meri",2
"160","*mi",6
"161","*min",5
"162","*mo",19
"163","*mu",12
"164","*n",20
"165","*na",9
"166","*nat",9
"167","*ne",6
"168","*no",25
"169","*not",17
"170","*not*",13
"171","*nu",1
"172","*o",11
"173","*ob",15
"174","*oc",2
"175","*of",92
"176","*of*",24
"177","*of*a",3
"178","*on",14
"179","*on*",14
"180","*on*o",2
"181","*on*t",7
"182","*on*th",7
"183","*one",4
"184","*op",4
"185","*or",8
"186","*or*",4
