"","n4","Freq"
"1","a",1
"2","ab",21
"3","abl",11
"4","abli",2
"5","abs",1
"6","ac",3
"7","acc",4
"8","ace",10
"9","ach",1
"10","acha",1
"11","aci",3
"12","aco",7
"13","act",5
"14","acte",1
"15","acti",9
"16","ad",10
"17","adm",4
"18","ado",2
"19","af",6
"20","afe",1
"21","aft",1
"22","ag",23
"23","aga",4
"24","age",7
"25","agis",2
"26","agre",2
"27","agu",4
"28","ai",5
"29","aid",1
"30","ail",6
"31","aim",1
"32","ain",4
"33","aini",1
"34","ains",6
"35","ainst",6
"36","aint",3
"37","ais",1
"38","aj",1
"39","ajo",1
"40","ak",6
"41","ake",3
"42","al",10
"43","ala",15
"44","alan",3
"45","alar",4
"46","ald",2
"47","ale",6
"48","alf",2
"49","ali",4
"50","alin",1
"51","alit",2
"52","all",19
"53","alle",3
"54","alo",4
"55","alon",1
"56","als",7
"57","alt",9
"58","am",14
"59","amb",1
"60","ame",3
"61","amer",1
"62","ami",2
"63","amo",6
"64","amon",2
"65","amp",3
"66","ampl",2
"67","an",3
"68","ana",9
"69","anc",13
"70","ance",17
"71","and",33
"72","ande",4
"73","andi",5
"74","ane",7
"75","ang",2
"76","ani",7
"77","ann",1
"78","ano",4
"79","ans",6
"80","ant",4
"81","anti",6
"82","anu",4
"83","ap",9
"84","ape",2
"85","app",4
"86","ara",5
"87","arac",1
"88","aract",1
"89","arc",3
"90","ard",1
"91","are",12
"92","arei",2
"93","aren",1
"94","arg",7
"95","ari",4
"96","arl",1
"97","arm",10
"98","aro",2
"99","arr",4
"100","ars",3
"101","arti",7
"102","arto",4
"103","ary",4
"104","as",10
"105","asa",8
"106","asb",4
"107","asbe",4
"108","ase",4
"109","asi",11
"110","asing",2
"111","asit",5
"112","aso",6
"113","ass",7
"114","asse",2
"115","assi",5
"116","assu",1
"117","ast",11
"118","astate",2
"119","asth",4
"120","asu",5
"121","asur",4
"122","asw",2
"123","at",3
"124","ata",10
"125","atb",3
"126","ate",3
"127","ated",7
"128","ater",2
"129","ath",8
"130","athe",1
"131","atho",2
"132","ati",13
"133","atin",4
"134","ation",23
"135","atit",1
"136","ative",1
"137","ato",2
"138","aton",1
"139","ats",1
"140","att",8
"141","atte",3
"142","atth",13
"143","atu",5
"144","au",8
"145","aus",5
"146","ause",3
"147","aut",7
"148","auth",7
"149","av",3
"150","ave",1
"151","aven",4
"152","aver",1
"153","aves",2
"154","avi",3
"155","avo",2
"156","aw",4
"157","axqwtm",1
"158","ay",1
"159","ayb",4
"160","aye",1
"161","ays",5
"162","b",2
"163","ba",6
"164","babl",2
"165","bar",2
"166","bbosvb",1
"167","be",9
"168","bea",10
"169","bear",1
"170","bec",10
"171","becom",2
"172","bed",9
"173","bede",2
"174","bee",13
"175","bef",8
"176","bei",6
"177","bein",5
"178","bel",3
"179","bem",2
"180","ben",4
"181","bene",2
"182","ber",2
"183","bera",4
"184","bere",3
"185","bero",3
"186","bers",7
"187","bert",2
"188","bes",3
"189","bet",11
"190","bi",6
"191","bia",1
"192","bil",1
"193","bin",2
"194","bit",2
"195","biti",1
"196","bj",5
"197","bl",3
"198","ble",17
"199","blec",1
"200","blet",4
"201","bli",2
"202","bm",1
"203","bmgjbr",2
"204","bo",8
"205","bod",5
"206","bor",2
"207","bou",1
"208","br",9
"209","brea",2
"210","bri",5
"211","bro",2
"212","bs",1
"213","bse",7
"214","bst",4
"215","bsta",2
"216","bu",9
"217","but",8
"218","buti",4
"219","bv",1
"220","bvi",1
"221","by",21
"222","bya",2
"223","byan",1
"224","byt",12
"225","byth",12
"226","byw",3
"227","ca",11
"228","cal",7
"229","can",8
"230","canc",1
"231","cann",1
"232","cap",4
"233","capa",3
"234","car",4
"235","cas",2
"236","case",2
"237","cat",2
"238","cau",3
"239","cc",1
"240","cce",2
"241","ccess",1
"242","cco",3
"243","ccu",2
"244","ccur",2
"245","ce",2
"246","cea",9
"247","ceand",5
"248","cebe",2
"249","ced",7
"250","cee",4
"251","cef",1
"252","cei",8
"253","cent",4
"254","ceo",16
"255","cep",1
"256","cer",3
"257","cern",2
"258","cert",4
"259","ces",4
"260","cess",6
"261","cessa",2
"262","cessi",2
"263","cet",6
"264","ch",1
"265","cha",2
"266","chan",1
"267","char",2
"268","chas",3
"269","che",4
"270","ches",1
"271","chi",1
"272","chis",5
"273","cho",6
"274","cht",11
"275","ci",4
"276","cia",6
"277","cie",7
"278","cien",3
"279","cil",4
"280","cio",6
"281","cip",6
"282","cir",3
"283","circ",3
"284","cis",5
"285","cise",3
"286","cit",4
"287","citi",3
"288","cl",1
"289","cle",2
"290","co",44
"291","col",1
"292","coll",1
"293","com",20
"294","con",36
"295","conc",5
"296","cong",1
"297","cons",14
"298","consi",9
"299","const",10
"300","cont",10
"301","conven",2
"302","cor",3
"303","cordin",1
"304","cou",21
"305","coun",7
"306","cour",5
"307","cr",8
"308","cre",6
"309","cret",4
"310","cta",4
"311","cte",2
"312","cted",5
"313","cter",1
"314","cti",5
"315","ctic",5
"316","ctit",2
"317","ctive",5
"318","cto",5
"319","cts",6
"320","ctto",2
"321","ctu",3
"322","cu",1
"323","cum",3
"324","cur",1
"325","curi",1
"326","cus",1
"327","cut",11
"328","cuti",5
"329","cy",15
"330","d",3
"331","da",13
"332","dac",2
"333","dan",7
