"","n4","Freq"
"1","a",1
"2","ab",16
"3","abl",9
"4","abli",1
"5","ac",3
"6","acc",4
"7","ace",3
"8","ach",1
"9","acha",1
"10","aci",3
"11","aco",4
"12","act",5
"13","acti",5
"14","ad",7
"15","adm",3
"16","ado",2
"17","af",4
"18","afe",1
"19","ag",14
"20","aga",2
"21","age",3
"22","agre",2
"23","agu",2
"24","ai",5
"25","aid",1
"26","ail",4
"27","aim",1
"28","ain",4
"29","aini",1
"30","ains",4
"31","ainst",4
"32","aint",3
"33","aj",1
"34","ajo",1
"35","ak",4
"36","ake",3
"37","al",6
"38","ala",12
"39","alan",3
"40","alar",4
"41","ald",1
"42","ale",4
"43","alf",2
"44","ali",3
"45","alin",1
"46","alit",2
"47","all",11
"48","alle",3
"49","alo",4
"50","alon",1
"51","als",6
"52","alt",4
"53","am",10
"54","amb",1
"55","ame",2
"56","ami",2
"57","amo",4
"58","amon",1
"59","amp",3
"60","ampl",2
"61","ana",6
"62","anc",4
"63","ance",8
"64","and",21
"65","ande",3
"66","andi",4
"67","ane",4
"68","ang",1
"69","ani",5
"70","ano",2
"71","ans",5
"72","ant",2
"73","anti",5
"74","anu",4
"75","ap",5
"76","ape",1
"77","app",3
"78","ara",4
"79","arc",2
"80","ard",1
"81","are",8
"82","arei",2
"83","aren",1
"84","arg",7
"85","ari",3
"86","arm",9
"87","aro",1
"88","arr",2
"89","ars",2
"90","arti",5
"91","arto",2
"92","ary",2
"93","as",6
"94","asa",4
"95","asb",3
"96","asbe",3
"97","ase",3
"98","asi",7
"99","asing",1
"100","asit",4
"101","aso",5
"102","ass",6
"103","asse",2
"104","assi",3
"105","assu",1
"106","ast",7
"107","asth",3
"108","asu",4
"109","asur",4
"110","asw",2
"111","at",3
"112","ata",7
"113","atb",2
"114","ate",3
"115","ated",5
"116","ater",2
"117","ath",7
"118","atho",2
"119","ati",5
"120","atin",2
"121","ation",12
"122","ative",1
"123","ato",2
"124","aton",1
"125","ats",1
"126","att",6
"127","atte",2
"128","atth",9
"129","atu",5
"130","au",4
"131","aus",4
"132","ause",3
"133","aut",3
"134","auth",3
"135","av",2
"136","ave",1
"137","aven",2
"138","aver",1
"139","aves",2
"140","avi",1
"141","avo",2
"142","aw",4
"143","ay",1
"144","ayb",1
"145","aye",1
"146","ays",4
"147","b",1
"148","ba",4
"149","babl",2
