"","n4","Freq"
"1","*",15
"2","**",33
"3","**a",4
"4","**b",1
"5","**i",8
"6","**the",10
"7","**the*",9
"8","*a",24
"9","*a*",93
"10","*ab",3
"11","*ac",21
"12","*act",5
"13","*ad",22
"14","*ag",13
"15","*age",5
"16","*al",31
"17","*all",21
"18","*all*",20
"19","*am",19
"20","*ame",1
"21","*an",65
"22","*an*",30
"23","*an*o",6
"24","*and",123
"25","*and*",75
"26","*ann",1
"27","*ans",4
"28","*ap",16
"29","*app",13
"30","*ar",18
"31","*are",32
"32","*art",4
"33","*arti",3
"34","*artic",2
"35","*as",43
"36","*as*",35
"37","*ass",2
"38","*at",33
"39","*at*",22
"40","*atte",5
"41","*au",2
"42","*aut",1
"43","*av",6
"44","*aw",2
"45","*b",14
"46","*be",16
"47","*be*",45
"48","*been*",18
"49","*bi",4
"50","*bl",4
"51","*bo",6
"52","*c",119
"53","*ca",29
"54","*cal",1
"55","*can*",5
"56","*ce",9
"57","*cer",3
"58","*ch",7
"59","*ci",6
"60","*cl",8
"61","*cla",7
"62","*cle",1
"63","*co",95
"64","*con",56
"65","*cons",21
"66","*cor",2
"67","*cri",2
"68","*cu",4
"69","*d",97
"70","*da",5
"71","*de",32
"72","*des",17
"73","*di",53
"74","*do",16
"75","*du",2
"76","*e",59
"77","*ea",9
"78","*eac",6
"79","*eas",2
"80","*ef",4
"81","*ei",8
"82","*el",2
"83","*ele",2
"84","*em",6
"85","*en",30
"86","*enc",1
"87","*ende",3
"88","*ent",6
"89","*enti",2
"90","*equ",6
"91","*er",2
"92","*es",5
"93","*ess",1
"94","*esse",1
"95","*est",3
"96","*ever",7
"97","*evi",6
"98","*ex",21
"99","*ext",6
"100","*ey",1
"101","*f",89
"102","*fa",16
"103","*fe",16
"104","*fi",5
"105","*for",40
"106","*fore",5
"107","*fr",35
"108","*ful",3
"109","*g",35
"110","*ge",12
"111","*gen",11
"112","*gi",3
"113","*go",21
"114","*gre",11
"115","*gu",2
"116","*h",134
"117","*ha",65
"118","*han",3
"119","*har",1
"120","*have*",46
"121","*he",20
"122","*he*",4
"123","*her*",2
"124","*hi",8
"125","*his*",3
"126","*ho",18
"127","*hou",1
"128","*i",114
"129","*ide",1
"130","*if",14
"131","*ill",4
"132","*im",11
"133","*in",93
"134","*in*",58
"135","*inc",5
"136","*ind",15
"137","*ine",1
"138","*inst",7
"139","*int",34
"140","*inte",22
"141","*ir",1
"142","*is",24
"143","*is*",23
"144","*it",51
"145","*it*",39
"146","*j",20
"147","*je",6
"148","*jo",1
"149","*k",14
"150","*ke",1
"151","*l",46
"152","*la",8
"153","*lan",4
"154","*lar",1
"155","*lat",5
"156","*le",11
"157","*leg",1
"158","*les",4
"159","*li",15
"160","*lit",2
"161","*lo",11
"162","*m",115
"163","*ma",26
"164","*me",18
"165","*men",14
"166","*mer",3
"167","*meri",1
"168","*mi",8
"169","*min",2
"170","*mo",36
"171","*mon",5
