"","n4","Freq"
"1","a",1
"2","ab",25
"3","abl",13
"4","abli",5
"5","abo",1
"6","abs",5
"7","ac",2
"8","acc",9
"9","ace",6
"10","acha",2
"11","achm",1
"12","aci",5
"13","aco",4
"14","acri",1
"15","act",7
"16","acte",8
"17","acti",3
"18","ad",8
"19","ade",3
"20","adm",4
"21","ado",2
"22","af",9
"23","afe",6
"24","aft",1
"25","ag",15
"26","aga",7
"27","age",2
"28","agis",3
"29","agre",1
"30","ah",2
"31","ai",1
"32","aid",1
"33","aim",1
"34","aini",2
"35","ains",4
"36","ainst",4
"37","aint",3
"38","ais",1
"39","aj",8
"40","ajo",7
"41","ak",6
"42","ake",2
"43","al",5
"44","ala",11
"45","alan",5
"46","alar",2
"47","alb",3
"48","ald",3
"49","ale",2
"50","alf",4
"51","ali",7
"52","alin",2
"53","alit",1
"54","all",9
"55","alo",3
"56","als",6
"57","alt",9
"58","am",12
"59","ama",3
"60","ame",3
"61","ament",1
"62","amer",3
"63","ami",5
"64","amp",3
"65","ampl",3
"66","an",5
"67","ana",12
"68","anc",2
"69","ance",3
"70","and",29
"71","ande",1
"72","andi",12
"73","ane",1
"74","ang",8
"75","ani",7
"76","ann",3
"77","ano",3
"78","ans",4
"79","ant",1
"80","ante",1
"81","ap",11
"82","apa",1
"83","ape",2
"84","app",6
"85","appo",8
"86","ara",3
"87","arac",9
"88","aract",9
"89","arc",2
"90","ard",4
"91","are",26
"92","area",4
"93","arei",3
"94","aren",1
"95","aret",11
"96","arg",5
"97","ari",6
"98","arie",1
"99","arl",3
"100","arm",5
"101","aro",2
"102","arr",1
"103","ars",11
"104","art",1
"105","arti",7
"106","arto",2
"107","ary",5
"108","as",7
"109","asa",5
"110","asb",10
"111","asbe",10
"112","ase",2
"113","asi",9
"114","asing",2
"115","asit",2
"116","aso",4
"117","ass",12
"118","asse",7
"119","assi",1
"120","assu",2
"121","ast",12
"122","asth",4
"123","asu",7
"124","asur",4
"125","asw",3
"126","aswe",2
"127","at",3
"128","ata",6
"129","atan",2
"130","atb",5
"131","ate",3
"132","ated",1
"133","aten",2
"134","ater",1
"135","ath",6
"136","athe",2
"137","atho",3
"138","ati",10
"139","atin",1
"140","ation",21
"141","ationa",2
"142","atis",1
"143","atit",6
"144","ato",10
"145","aton",1
"146","ator",2
"147","att",2
"148","atth",10
"149","atu",7
"150","au",3
"151","aut",9
"152","auth",9
"153","av",4
"154","ave",4
"155","aven",1
"156","aver",3
"157","aves",1
"158","avi",4
"159","avo",2
"160","aw",1
"161","awo",1
"162","ay",2
"163","ayb",5
"164","b",1
"165","ba",1
"166","bbosvb",1
"167","be",9
"168","bea",9
"169","beas",1
"170","bec",2
"171","becom",1
"172","bed",7
"173","bede",5
"174","beder",3
"175","bee",14
"176","bef",4
"177","bei",4
"178","bein",3
"179","bel",1
"180","bem",2
"181","bema",2
"182","ben",2
"183","bene",1
"184","ber",4
"185","bera",2
"186","bere",4
"187","bers",2
"188","bert",1
"189","bes",5
"190","beso",1
"191","bet",10
"192","bi",9
"193","bil",3
"194","bill",2
"195","bin",3
"196","bit",3
"197","biti",1
"198","bj",8
"199","bjecti",4
"200","bl",4
"201","ble",17
"202","blet",5
"203","bmgjbr",4
"204","bo",17
"205","bod",12
"206","bot",4
"207","both",4
"208","bou",1
"209","br",4
"210","bra",4
"211","bran",4
"212","bse",1
"213","bso",5
"214","bsol",5
"215","bst",1
"216","bt",1
"217","bta",1
"218","bu",15
"219","but",15
"220","buti",5
"221","bv",1
"222","bvi",1
"223","by",35
"224","bya",5
"225","byan",1
"226","byt",18
"227","byth",18
"228","byw",3
"229","c",1
"230","ca",7
"231","cal",12
"232","can",4
"233","canc",3
"234","cand",1
"235","candi",1
"236","cap",5
"237","capa",5
"238","car",4
"239","cas",3
"240","case",3
"241","cat",7
"242","cco",7
"243","ccu",2
"244","ccur",2
"245","ce",2
"246","cea",1
"247","cebe",1
"248","ced",2
"249","cee",4
"250","cef",2
"251","cei",3
"252","cent",1
"253","ceo",6
"254","cer",4
"255","cert",4
"256","ces",2
"257","cess",4
"258","cessa",3
"259","cessi",1
"260","cet",8
"261","ch",2
"262","cha",17
"263","chan",5
"264","char",10
"265","che",3
"266","ches",1
"267","chis",2
"268","cho",4
"269","cht",8
"270","ci",1
"271","cia",2
"272","cien",2
"273","cil",1
"274","cip",5
"275","cis",5
"276","cise",1
"277","cit",7
"278","citi",6
"279","cl",2
"280","cla",4
"281","clar",2
"282","clas",1
"283","cle",1
"284","clu",1
"285","co",40
"286","col",2
"287","coll",1
"288","com",13
"289","con",28
"290","conc",3
"291","cong",12
"292","cons",16
"293","consi",9
"294","const",21
"295","cont",8
"296","conven",5
"297","cor",7
"298","cordin",7
"299","cou",6
"300","coun",3
"301","cr",4
"302","cra",2
"303","cre",1
"304","crit",2
"305","cta",10
"306","cte",1
"307","cted",5
"308","cter",8
"309","cti",4
"310","ctic",1
"311","ctive",8
"312","cto",8
"313","ctor",2
"314","cts",1
"315","ctthe",3
"316","cu",1
"317","cul",1
"318","cur",1
"319","cut",5
"320","cuti",4
"321","cy",9
"322","d",1
"323","da",8
"324","dac",1
"325","dame",1
"326","dan",9
"327","dange",6
"328","dar",2
"329","das",2
"330","dat",4
"331","db",7
"332","dbe",7
"333","dc",7
"334","dco",4
"335","dd",3
"336","dde",2
"337","de",1
"338","dea",2
"339","deb",3
"340","dec",4
"341","deci",2
"342","ded",11
"343","def",9
"344","defe",3
"345","defi",4
"346","deg",1
"347","del",5
"348","deleg",2
"349","den",12
"350","dent",9
"351","dep",6
"352","depar",3
"353","depart",3
"354","depe",5
"355","der",7
"356","deral",14
"357","dere",4
"358","deri",13
"359","dert",6
"360","derthe",3
"361","des",2
"362","desi",1
"363","det",2
"364","df",15
"365","dfor",5
