"","n4","Freq"
"1","ab",9
"2","abl",6
"3","abli",2
"4","abs",1
"5","ac",6
"6","acc",3
"7","ace",6
"8","ach",3
"9","acha",3
"10","aci",1
"11","aco",2
"12","act",6
"13","acti",3
"14","ad",2
"15","adbe",3
"16","ade",1
"17","adm",2
"18","af",4
"19","afe",1
"20","affi",1
"21","aft",1
"22","ag",12
"23","aga",6
"24","age",4
"25","agis",4
"26","agre",1
"27","ai",4
"28","ail",1
"29","ain",2
"30","aine",5
"31","aini",2
"32","ains",7
"33","ainst",7
"34","aint",1
"35","ak",1
"36","ake",1
"37","al",9
"38","ala",6
"39","alan",1
"40","alar",1
"41","ale",3
"42","alf",1
"43","ali",4
"44","alin",2
"45","all",11
"46","alle",2
"47","alo",2
"48","als",2
"49","alt",3
"50","am",9
"51","amb",2
"52","ame",1
"53","ament",1
"54","amer",1
"55","ami",2
"56","amo",5
"57","amon",2
"58","an",2
"59","ana",2
"60","anc",1
"61","ance",4
"62","and",31
"63","ande",3
"64","andi",3
"65","ane",3
"66","ang",5
"67","ani",5
"68","ann",2
"69","ano",4
"70","anot",2
"71","ans",6
"72","ant",1
"73","ante",2
"74","anti",1
"75","ap",5
"76","apa",1
"77","ape",1
"78","app",1
"79","apre",1
"80","arc",3
"81","ard",1
"82","are",12
"83","area",1
"84","ares",1
"85","aret",2
"86","arg",1
"87","ari",1
"88","arie",3
"89","arl",1
"90","arm",1
"91","arr",4
"92","ars",2
"93","art",2
"94","arti",10
"95","artic",1
"96","arto",3
"97","ary",3
"98","as",4
"99","asa",1
"100","asb",3
"101","asbe",3
"102","ase",2
"103","asi",7
"104","asing",1
"105","aso",4
"106","ass",8
"107","asse",3
"108","assi",5
"109","assu",2
"110","ast",12
"111","asth",8
"112","asu",3
"113","asur",1
"114","asw",2
"115","at",4
"116","ata",5
"117","atan",1
"118","ate",1
"119","ated",7
"120","aten",1
"121","ater",1
"122","ath",3
"123","atho",1
"124","ati",6
"125","atin",1
"126","ation",8
"127","ationa",2
"128","atis",1
"129","atit",2
"130","ato",3
"131","ator",1
"132","ats",1
"133","atso",1
"134","att",5
"135","atte",2
"136","atth",14
"137","atu",9
"138","au",4
"139","aus",3
"140","ause",2
"141","aut",9
"142","auth",9
"143","av",3
"144","aven",3
"145","aver",2
"146","aves",4
"147","avi",2
"148","avo",5
"149","awo",3
"150","ax",2
"151","axi",2
"152","axqwtm",1
"153","ayb",2
"154","aye",2
"155","ays",1
"156","ba",1
"157","babl",1
"158","bar",1
"159","bbosvb",1
"160","be",5
"161","bea",6
"162","beas",3
"163","bec",2
"164","bed",4
"165","bede",1
"166","bee",6
"167","bef",1
"168","bei",5
"169","bein",3
"170","bel",7
"171","bele",5
"172","bem",3
"173","bema",2
"174","ben",1
"175","bera",1
"176","bers",5
"177","bert",2
"178","bes",6
"179","beso",2
"180","bet",4
"181","bi",3
"182","bil",1
"183","bit",2
"184","biti",2
"185","bj",8
"186","bjecti",2
"187","bl",4
"188","ble",10
"189","blec",2
"190","blet",1
"191","bli",1
"192","bmgjbr",5
"193","bo",8
"194","bod",1
"195","bor",1
"196","bot",2
"197","both",2
"198","bou",4
"199","br",3
"200","bra",1
"201","bran",1
"202","bro",2
"203","bso",1
"204","bsol",1
"205","bt",2
"206","bta",1
"207","bu",4
"208","but",4
"209","buti",1
"210","bv",1
"211","bvi",1
"212","by",20
"213","bya",6
"214","byan",3
"215","byo",1
"216","byt",8
"217","byth",8
"218","c",1
"219","ca",4
"220","cac",2
"221","cal",6
"222","can",3
"223","canc",1
"224","cann",1
"225","cap",2
"226","capa",2
"227","car",3
"228","cas",3
"229","case",3
"230","casi",1
"231","cat",2
"232","cau",1
"233","cca",1
"234","ccas",1
"235","cce",1
"236","ccess",1
"237","cco",3
"238","cea",5
"239","ceand",1
"240","cebe",1
"241","ced",4
"242","cee",1
"243","cef",1
"244","cei",4
"245","ceo",3
"246","cep",4
"247","cert",1
"248","ces",1
"249","cess",12
"250","cessa",11
"251","cet",5
"252","ch",2
"253","cha",6
"254","chan",2
"255","chas",2
"256","che",1
"257","chi",5
"258","chis",3
"259","chm",2
"260","cho",3
"261","cht",6
"262","cia",5
"263","cie",1
"264","cien",2
"265","cip",2
"266","cis",4
"267","cise",3
"268","cit",1
"269","cl",2
"270","cla",2
"271","clas",1
"272","cle",3
"273","clea",1
"274","cles",2
"275","clu",4
"276","co",13
"277","col",1
"278","coll",1
"279","com",8
"280","con",27
"281","conc",3
"282","cong",2
"283","cons",15
"284","const",27
"285","cont",7
"286","conven",1
"287","cor",1
"288","cordin",1
"289","cou",1
"290","cour",1
"291","cr",4
"292","cra",1
"293","cre",1
"294","cri",1
"295","crit",1
"296","cro",2
"297","cta",1
"298","cte",1
"299","cted",4
"300","cti",2
"301","ctic",2
"302","ctive",3
"303","cto",3
"304","cts",6
"305","ctthe",1
"306","ctto",3
"307","ctu",2
"308","cur",3
"309","curi",3
"310","cut",11
"311","cuti",11
"312","cy",12
"313","da",3
"314","dac",2
"315","dame",1
"316","dan",4
"317","dange",3
"318","dar",3
"319","das",2
"320","dat",2
"321","db",6
"322","dbe",10
"323","dc",9
"324","dco",9
"325","dd",4
"326","dde",2
"327","dec",1
"328","ded",8
"329","def",3
"330","defe",3
"331","deg",1
"332","degre",1
"333","del",2
"334","deleg",1
"335","deli",1
"336","dem",1
"337","demo",1
"338","den",6
"339","dent",3
"340","dep",13
"341","depar",10
"342","depart",10
"343","depe",3
"344","dequa",2
"345","deral",7
"346","dert",3
"347","derthe",2
"348","des",3
"349","dest",1
"350","det",1
"351","df",6
"352","dfor",3
"353","dfr",2
"354","dg",2
"355","dge",1
"356","dh",13
"357","dha",13
