"","n4","Freq"
"1","*",4
"2","**",28
"3","**b",3
"4","**i",3
"5","**the",8
"6","**the*",7
"7","*a",18
"8","*a*",80
"9","*ab",9
"10","*ac",30
"11","*act",19
"12","*ad",17
"13","*ade",9
"14","*ag",14
"15","*age",1
"16","*al",39
"17","*all",20
"18","*all*",18
"19","*als",4
"20","*am",5
"21","*ame",6
"22","*an",64
"23","*an*",14
"24","*and",115
"25","*and*",74
"26","*ann",4
"27","*ans",2
"28","*ap",23
"29","*app",20
"30","*ar",18
"31","*are",32
"32","*ari",2
"33","*art",13
"34","*arti",13
"35","*artic",13
"36","*as",75
"37","*as*",58
"38","*ass",8
"39","*at",13
"40","*at*",13
"41","*au",24
"42","*aut",24
"43","*b",21
"44","*be",20
"45","*be*",72
"46","*been*",17
"47","*bi",3
"48","*bl",1
"49","*ble",1
"50","*bo",17
"51","*c",118
"52","*ca",23
"53","*can*",1
"54","*ce",3
"55","*cer",2
"56","*ch",23
"57","*ci",5
"58","*cl",4
"59","*cla",3
"60","*cle",1
"61","*co",102
"62","*con",48
"63","*cons",21
"64","*cri",2
"65","*d",62
"66","*da",2
"67","*de",31
"68","*den",1
"69","*der",11
"70","*des",2
"71","*di",26
"72","*do",8
"73","*du",5
"74","*e",52
"75","*ea",8
"76","*eac",8
"77","*ef",3
"78","*ei",5
"79","*el",8
"80","*ele",8
"81","*em",1
"82","*emb",1
"83","*en",10
"84","*ent",1
"85","*enti",1
"86","*equ",4
"87","*es",18
"88","*ess",4
"89","*esse",4
"90","*est",14
"91","*ever",10
"92","*evi",3
"93","*ex",25
"94","*ext",8
"95","*f",94
"96","*fa",6
"97","*fe",28
"98","*fi",12
"99","*fin",3
"100","*for",31
"101","*fr",38
"102","*g",35
"103","*ge",13
"104","*gen",13
"105","*gi",4
"106","*go",62
"107","*gre",5
"108","*gu",2
"109","*h",65
"110","*ha",25
"111","*han",5
"112","*have*",13
"113","*he",9
"114","*he*",1
"115","*hi",3
"116","*his*",1
"117","*ho",13
"118","*hou",3
"119","*i",131
"120","*ide",1
"121","*if",7
"122","*im",21
"123","*in",111
"124","*in*",63
"125","*ina",1
"126","*inc",2
"127","*ind",24
"128","*inst",7
"129","*int",15
"130","*inte",4
"131","*ir",2
"132","*is",74
"133","*is*",60
"134","*it",84
"135","*it*",58
"136","*j",10
"137","*l",34
"138","*la",3
"139","*lan",1
"140","*lat",7
"141","*lati",1
"142","*le",14
"143","*leg",15
"144","*les",5
"145","*li",12
"146","*lo",6
"147","*m",69
"148","*ma",13
"149","*me",18
"150","*mi",9
"151","*min",3
"152","*mo",31
"153","*mon",3
"154","*mu",8
"155","*n",57
"156","*na",40
"157","*nat",38
"158","*ne",29
"159","*no",60
"160","*not",39
"161","*not*",17
"162","*nu",1
"163","*nzvkk",1
"164","*o",28
"165","*ob",14
"166","*of",215
"167","*of*",58
"168","*of*a",14
"169","*ol",3
"170","*om",1
"171","*on",37
"172","*on*",35
"173","*on*o",1
"174","*on*t",22
"175","*on*th",21
"176","*one",17
"177","*op",10
"178","*oper",7
"179","*or",26
"180","*or*",10
"181","*ori",1
"182","*ot",18
"183","*oth",18
"184","*ou",13
"185","*ough",10
"186","*our",2
"187","*over",5
"188","*ow",3
"189","*owe",1
"190","*p",104
"191","*pa",27
"192","*par",25
"193","*part",25
"194","*pe",9
"195","*per",16
"196","*peri",8
"197","*pl",11
"198","*pla",9
"199","*ple",2
"200","*po",48
"201","*point",1
"202","*pos",8
"203","*pre",19
"204","*pres",15
"205","*pri",17
"206","*pu",10
"207","*qu",4
"208","*que",4
"209","*r",112
"210","*ra",9
"211","*rat",7
"212","*rati",5
"213","*re",65
"214","*rea",4
"215","*rec",10
"216","*red",1
"217","*reme",1
"218","*ren",4
"219","*res",14
"220","*rest",1
"221","*ri",1
"222","*ru",3
"223","*s",32
"224","*sa",2
"225","*sc",1
"226","*se",10
"227","*sen",9
"228","*sh",18
"229","*si",5
"230","*side",1
"231","*sing",1
"232","*sit",1
